student_id,course_id,final_grade,status
S001,C02,8.209985010939558,PASS
S001,C01,7.063569623136893,PASS
S001,C03,8.689203177601946,PASS
S001,C05,8.791399382565771,PASS
S002,C05,7.10251725061801,PASS
S002,C06,8.890131388170117,PASS
S002,C02,6.929274432197788,PASS
S002,C03,6.155198029467842,PASS
S003,C02,7.154439665411254,PASS
S003,C01,7.037078888269882,PASS
S003,C05,5.185154954226345,PASS
S003,C03,4.062464947265995,FAIL
S004,C06,4.930527082785717,FAIL
S004,C01,8.250745277577467,PASS
S004,C02,7.578109693234131,PASS
S004,C05,7.051631191637075,PASS
S005,C01,7.709756867149167,PASS
S005,C03,6.912404379222928,PASS
S005,C06,7.535091488214618,PASS
S005,C05,8.723081420659526,PASS
S006,C02,8.078033439646495,PASS
S006,C03,5.319800785794138,PASS
S006,C04,7.069636709597432,PASS
S006,C01,4.197634474888418,FAIL
S007,C05,8.749097748090655,PASS
S007,C02,4.105470139316067,FAIL
S007,C04,5.384164303701878,PASS
S007,C01,5.0064395050075525,PASS
S008,C04,8.425746240038057,PASS
S008,C06,6.84603412162074,PASS
S008,C02,5.190558757960218,PASS
S008,C01,5.47243120687503,PASS
S009,C01,8.192382627878477,PASS
S009,C04,6.172762982325,PASS
S009,C03,4.819124700123501,FAIL
S009,C02,5.462011585699673,PASS
S010,C04,5.633543622591081,PASS
S010,C06,6.567070093180837,PASS
S010,C01,4.59848563651273,FAIL
S010,C03,4.159383064233029,FAIL
S011,C06,8.625545631667293,PASS
S011,C01,8.127915844780196,PASS
S011,C05,7.777233836798541,PASS
S011,C02,4.781041067747966,FAIL
S012,C06,4.533314620535078,FAIL
S012,C03,6.240209310593091,PASS
S012,C01,4.550314617925235,FAIL
S012,C04,5.8900710013401625,PASS
S013,C02,4.279903178629569,FAIL
S013,C06,6.921650850536661,PASS
S013,C04,6.019319561924561,PASS
S013,C01,7.835530586338078,PASS
S014,C04,5.4328587492486315,PASS
S014,C02,7.339447187585915,PASS
S014,C03,8.372356181128346,PASS
S014,C05,5.832933839099809,PASS
S015,C02,8.51430096391665,PASS
S015,C01,6.107467041355493,PASS
S015,C04,8.470317627732141,PASS
S015,C03,4.937108054565267,FAIL
S016,C01,8.651728882886724,PASS
S016,C06,7.002367078563317,PASS
S016,C05,8.244339375146776,PASS
S016,C04,7.251965514660226,PASS
S017,C02,7.8259377507799925,PASS
S017,C06,5.196653737939413,PASS
S017,C04,8.279076101918285,PASS
S017,C05,6.283798285917552,PASS
S018,C04,6.8624258340288,PASS
S018,C02,7.476610080131799,PASS
S018,C06,8.997101619671056,PASS
S018,C01,8.068273040397308,PASS
S019,C02,6.221547508592975,PASS
S019,C04,7.097061862828953,PASS
S019,C01,7.612462997165085,PASS
S019,C06,5.439377070973623,PASS
S020,C03,5.902000173493155,PASS
S020,C04,8.567502505402523,PASS
S020,C06,6.753717680318901,PASS
S020,C02,5.9181255346014225,PASS
S021,C06,6.812427831351242,PASS
S021,C05,5.4123624759630005,PASS
S021,C04,4.590435210495163,FAIL
S021,C01,5.188859867460472,PASS
S022,C02,5.837978494987754,PASS
S022,C03,5.590286977497788,PASS
S022,C06,7.831285131281499,PASS
S022,C01,5.6737414957630925,PASS
S023,C05,4.175634941324464,FAIL
S023,C06,6.40027642557737,PASS
S023,C01,8.940116344516092,PASS
S023,C03,7.452098069821016,PASS
S024,C03,7.0365033518236295,PASS
S024,C01,7.348343170580747,PASS
S024,C05,7.663181177483709,PASS
S024,C06,4.4703417066374715,FAIL
S025,C04,8.444936295785713,PASS
S025,C05,7.464233302683356,PASS
S025,C02,7.833320953707416,PASS
S025,C01,7.054450712669382,PASS
S026,C05,4.320160133239516,FAIL
S026,C01,4.495153396951599,FAIL
S026,C02,8.69877425333672,PASS
S026,C06,4.967183621375672,FAIL
S027,C05,8.204127135613826,PASS
S027,C01,7.119652247646999,PASS
S027,C02,8.723520242372407,PASS
S027,C04,7.147118288814509,PASS
S028,C01,6.496945392147193,PASS
S028,C05,4.80729141557803,FAIL
S028,C02,7.856705189589065,PASS
S028,C03,7.462859394785185,PASS
S029,C05,8.47927847568139,PASS
S029,C01,6.903976417001334,PASS
S029,C06,7.023595697029323,PASS
S029,C02,6.113467728949843,PASS
S030,C06,8.335547924901977,PASS
S030,C05,6.396447846164444,PASS
S030,C03,4.804351054177121,FAIL
S030,C02,7.419497222053268,PASS
S031,C02,5.7801732496597475,PASS
S031,C03,8.790352673821953,PASS
S031,C06,5.732308615223518,PASS
S031,C04,8.298550558914904,PASS
S032,C04,5.984940809593276,PASS
S032,C02,4.543171567814879,FAIL
S032,C03,6.0097082176290675,PASS
S032,C05,8.977562848032935,PASS
